SUBJECT,CATALOG NUMBER,SECTION,COURSE TITLE,INSTRUCTOR,INSTR STATUS,"ENROLL
CAP",ROOM CAP,CLASS LOCATION,FACILITY,FACILITY TYPE,SESSION,CLASS MEETING PATTERN,START TIME,END TIME,COMBINED WITH,DISPLAYED SECTION NOTES,COMMENTS
COMP,170,03L,Introduction to Object-Oriented Programming,"Naiman,Channah",NTT,25,35,LSC,CC 105,,,T,7:00:00 PM,7:45:00 PM,,,
COMP,170,04L,Introduction to Object-Oriented Programming,"Thiruvathukal,George",TT,25,35,LSC,CC 105,,,MW,11:30:00 AM,11:55:00 AM,,,
COMP,250,01W,Introduction to Scientific and Technical Communication,"Schwab,Roxanne",PT,18,25,LSC,CC 103,,,MW,2:45:00 PM,4:00:00 PM,,,
COMP,250,02W,Introduction to Scientific and Technical Communication,"Schwab,Roxanne",PT,18,25,LSC,CC 103,,,M,7:00:00 PM,9:30:00 PM,,,
COMP,251,1,Introduction to Database Systems,"Bevente,Guy",PT,30,,LSC,,,,M,7:00:00 PM,9:30:00 PM,,,
COMP,264,1,Introduction to Computer Systems,"Greenberg,Ronald I",TT,45,,LSC,CC 103,,,Tr,4:15:00 PM,6:45:00 PM,,,
COMP,271,1,Data Structures: Algorithms and Applications,"Saenz,Maria",PT,25,35,LSC,CC 103,,,TTr,7:00:00 PM,8:15:00 PM,,,
COMP,271,2,Data Structures: Algorithms and Applications,"Putonti,Catherine",TT,25,35,LSC,CC 105,,,W,4:15:00 PM,6:45:00 PM,,,
COMP,271,01L,Data Structures: Algorithms and Applications,"Saenz,Maria",PT,25,35,LSC,CC 103,,,TTr,8:30:00 PM,8:55:00 PM,,,
COMP,271,02L,Data Structures: Algorithms and Applications,"Putonti,Catherine",TT,25,35,LSC,CC 105,,,W,7:00:00 PM,7:50:00 PM,,,
COMP,300,1,Data Warehousing and Data Mining,"Naiman,Channah",NTT,35,,WTC,,,,M,4:15:00 PM,6:45:00 PM,488-001,,
COMP,305,1,Database Administration,"Dordal,Peter L",TT,35,,WTC,,LAB,,T,4:15:00 PM,6:45:00 PM,488-002,,
COMP,312,1,Open Source Computing,,TT,35,,ONLN,,,,,,,412-001,,
COMP,313,1,Intermediate Object-Oriented Development,"Yacobellis,Robert",NTT,40,,LSC,,,,TTr,2:30:00 PM,3:45:00 PM,,,
COMP,317,1,"Social, Legal, and Ethical Issues in Computing","Butcher,Matthew Paul",PT,35,,ONLN,,,,,,,,,
COMP,330,1,Software Engineering,"Honig,William",TT,35,,LSC,,,,T,4:15:00 PM,6:45:00 PM,,,
COMP,340,1,Computer Forensics,"Yarrish,Thomas",PT,35,,WTC,,LAB,,W,7:00:00 PM,9:30:00 PM,488-003,,
COMP,348,1,Network Security,"Schmitz,Corby",PT,25,40,WTC,,,,F,5:30:00 PM,8:00:00 PM,448-001,,
COMP,348,2,Network Security,"Schmitz,Corby",PT,25,,ONLN,,,,,,,348-002,,
COMP,353,1,Database Programming,"Sekharan,Chandra N",TT,35,,LSC,,,,M,4:15:00 PM,6:45:00 PM,,,
COMP,366,1,Microcomputer Des & Interfaces,"Honig,William",TT,30,,LSC,,LAB,,TTr,1:00:00 PM,2:15:00 PM,450-001,,need special electronics lab
COMP,372,1,Programming Languages,"Laufer,Konstantin",TT,35,,WTC,,,,W,4:15:00 PM,6:45:00 PM,471-001,,
COMP,373,1,"Objects, Frameworks, and Patterns","Zewdie,Berhane",PT,35,,WTC,,,,T,7:00:00 PM,9:30:00 PM,473-001,,
COMP,378,1,Intro Artificial Intelligence,"Weisert,Conrad",PT,35,,WTC,,,,M,7:00:00 PM,9:30:00 PM,484-001,,
COMP,388,1,Human-Computer Interface Design,,PT,35,,WTC,,,,Tr,7:00:00 PM,9:30:00 PM,441-001,,
COMP,388,2,Advanced Algorithms & Complexity,"Sekharan,Chandra N",TT,35,,WTC,,,,T,4:15:00 PM,6:45:00 PM,460-001,prerequisite: COMP 363,
COMP,388,3,IT Project Management,"Weisert,Conrad",PT,35,,WTC,,,,F,4:15:00 PM,6:45:00 PM,477-001,,
COMP,388,4,Topics in Computers Science,"Harrington,Andrew N",TT,30,,WTC,,LAB,8W1,M,5:30:00 PM,9:30:00 PM,,Foundations of Comp Sci II; restricted to Graduate School students; second eight-week session,additional meeting time: W 4:45-6:45; please look at spring 2014 dates
COMP,388,5,Topics in Computers Science,"Dordal,Peter L",TT,30,,WTC,,LAB,8W2,M,5:30:00 PM,9:30:00 PM,,Foundations of Comp Sci I; restricted to Graduate School students; first eight-week session,additional meeting time: W 4:45-6:45; please look at spring 2014 dates
COMP,388,6,Computational Neuroscience,"Albert,Mark",TT,35,,LSC,,,,Tr,4:15:00 PM,6:45:00 PM,488-006,,
COMP,388,7,Advanced Bioinformatics Research,"Putonti,Catherine",TT,30,,ONLN,,,,,,,,,
COMP,388,8,Research Methods in Comp Sci,"Albert,Mark",TT,30,,ONLN,,,,,,,,,1 credit hour
COMP,391,01E,Internship in CS,"Greenberg,Ronald I",TT,20,,WTC,,,,,,,,,secondary instructor: Yacobellis
COMP,398,01E,Independent Study,"Thiruvathukal,George",TT,20,,WTC,,,,,,,,,secondary instructor: Laufer
COMP,398,02E,Independent Study,"Dordal,Peter L",TT,20,,WTC,,,,,,,,,
COMP,398,03E,Independent Study,"Greenberg,Ronald I",TT,20,,WTC,,,,,,,,,
COMP,398,04E,Independent Study,"Harrington,Andrew N",TT,20,,WTC,,,,,,,,,
COMP,398,05E,Independent Study,"Honig,William",TT,20,,WTC,,,,,,,,,
COMP,398,06E,Independent Study,"Putonti,Catherine",TT,20,,WTC,,,,,,,,,
COMP,398,07E,Independent Study,"Sekharan,Chandra N",TT,20,,WTC,,,,,,,,,
COMP,398,08E,Independent Study,"Yacobellis,Robert",NTT,20,,WTC,,,,,,,,,
COMP,398,09E,Independent Study,"Albert,Mark",TT,10,,WTC,,,,,,,,,
COMP,398,10E,Independent Study,"Naiman,Channah",NTT,10,,WTC,,,,,,,,,
COMP,399,1,Computer Science Seminar,"Albert,Mark",TT,30,,LSC,,,,F,12:35:00 PM,1:25:00 PM,,,1 credit hour
COMP,412,1,Open Source Computing,,TT,35,,ONLN,,,,,,,312-001,,
COMP,413,1,Intermediate Object-Oriented Development,"Yacobellis,Robert",NTT,40,,WTC,,,,T,7:00:00 PM,9:30:00 PM,,,
COMP,417,1,Social and Ethical Issues in Computing,"Dordal,Peter L",TT,35,,WTC,,,,Tr,4:15:00 PM,6:45:00 PM,,,
COMP,441,1,Human-Computer Interface Design,,PT,35,,WTC,,,,Tr,7:00:00 PM,9:30:00 PM,388-001,,
COMP,448,1,Network Security,"Schmitz,Corby",PT,25,40,WTC,,,,F,5:30:00 PM,8:00:00 PM,348-001,,
COMP,448,2,Network Security,"Schmitz,Corby",PT,25,,ONLN,,,,,,,348-002,,
COMP,450,1,Microprogramming & Microprocessing,"Honig,William",TT,30,,LSC,,LAB,,TTr,1:00:00 PM,2:15:00 PM,366-001,,need special electronics lab
COMP,460,1,Algorithms & Complexity,"Sekharan,Chandra N",TT,35,,WTC,,,,T,4:15:00 PM,6:45:00 PM,388-002,,
COMP,471,1,Thry of Programming Languages,"Laufer,Konstantin",TT,35,,WTC,,,,W,4:15:00 PM,6:45:00 PM,372-001,,
COMP,473,1,Object-Oriented Programming,"Zewdie,Berhane",PT,35,,WTC,,,,T,7:00:00 PM,9:30:00 PM,373-001,,
COMP,474,1,Software Engineering,"Honig,William",TT,35,,WTC,,,,Tr,4:15:00 PM,6:45:00 PM,,,
COMP,477,1,IT Project Management,"Weisert,Conrad",PT,35,,WTC,,,,F,4:15:00 PM,6:45:00 PM,388-003,,
COMP,484,1,Artificial Intelligence,"Weisert,Conrad",PT,35,,WTC,,,,M,7:00:00 PM,9:30:00 PM,378-001,,
COMP,488,1,Data Warehousing and Data Mining,"Naiman,Channah",NTT,35,,WTC,,,,M,4:15:00 PM,6:45:00 PM,300-001,,
COMP,488,2,Database Administration,"Dordal,Peter L",TT,35,,WTC,,LAB,,T,4:15:00 PM,6:45:00 PM,305-001,,
COMP,488,3,Computer Forensics,"Yarrish,Thomas",PT,35,,WTC,,LAB,,W,7:00:00 PM,9:30:00 PM,340-001,,
COMP,488,6,Computational Neuroscience,"Albert,Mark",TT,35,,LSC,,,,Tr,4:15:00 PM,6:45:00 PM,388-006,,
COMP,488,7,Advanced Bioinformatics Research,"Putonti,Catherine",TT,30,,ONLN,,,,,,,,,
COMP,490,1,Independent Project,"Thiruvathukal,George",TT,20,,WTC,,,,,,,,,secondary instructor: Laufer
COMP,490,2,Independent Project,"Dordal,Peter L",TT,20,,WTC,,,,,,,,,
COMP,490,3,Independent Project,"Greenberg,Ronald I",TT,20,,WTC,,,,,,,,,
COMP,490,4,Independent Project,"Harrington,Andrew N",TT,20,,WTC,,,,,,,,,
COMP,490,5,Independent Project,"Honig,William",TT,20,,WTC,,,,,,,,,
COMP,490,6,Independent Project,"Putonti,Catherine",TT,20,,WTC,,,,,,,,,
COMP,490,7,Independent Project,"Sekharan,Chandra N",TT,20,,WTC,,,,,,,,,
COMP,490,8,Independent Project,"Yacobellis,Robert",NTT,20,,WTC,,,,,,,,,
COMP,490,9,Independent Project,"Albert,Mark",TT,20,,WTC,,,,,,,,,
COMP,490,10,Independent Project,"Naiman,Channah",NTT,20,,WTC,,,,,,,,,
COMP,499,1,Internship,"Harrington,Andrew N",TT,20,,WTC,,,,,,,,,secondary instructor: Laufer
COMP,499,2,Internship,"Harrington,Andrew N",TT,20,,WTC,,,,,,,,,secondary instructor: Laufer
COMP,605,1,Master of Science Study,"Harrington,Andrew N",TT,20,,WTC,,,,,,,,,secondary instructor: Laufer
